FMTNAME,START,LABEL
I94ADDRL,99,All Other Codes
I94ADDRL,AK,ALASKA
I94ADDRL,AL,ALABAMA
I94ADDRL,AR,ARKANSAS
I94ADDRL,AZ,ARIZONA
I94ADDRL,CA,CALIFORNIA
I94ADDRL,CO,COLORADO
I94ADDRL,CT,CONNECTICUT
I94ADDRL,DC,DIST. OF COLUMBIA
I94ADDRL,DE,DELAWARE
I94ADDRL,FL,FLORIDA
I94ADDRL,GA,GEORGIA
I94ADDRL,GU,GUAM
I94ADDRL,HI,HAWAII
I94ADDRL,IA,IOWA
I94ADDRL,ID,IDAHO
I94ADDRL,IL,ILLINOIS
I94ADDRL,IN,INDIANA
I94ADDRL,KS,KANSAS
I94ADDRL,KY,KENTUCKY
I94ADDRL,LA,LOUISIANA
I94ADDRL,MA,MASSACHUSETTS
I94ADDRL,MD,MARYLAND
I94ADDRL,ME,MAINE
I94ADDRL,MI,MICHIGAN
I94ADDRL,MN,MINNESOTA
I94ADDRL,MO,MISSOURI
I94ADDRL,MS,MISSISSIPPI
I94ADDRL,MT,MONTANA
I94ADDRL,NC,N. CAROLINA
I94ADDRL,ND,N. DAKOTA
I94ADDRL,NE,NEBRASKA
I94ADDRL,NH,NEW HAMPSHIRE
I94ADDRL,NJ,NEW JERSEY
I94ADDRL,NM,NEW MEXICO
I94ADDRL,NV,NEVADA
I94ADDRL,NY,NEW YORK
I94ADDRL,OH,OHIO
I94ADDRL,OK,OKLAHOMA
I94ADDRL,OR,OREGON
I94ADDRL,PA,PENNSYLVANIA
I94ADDRL,PR,PUERTO RICO
I94ADDRL,RI,RHODE ISLAND
I94ADDRL,SC,S. CAROLINA
I94ADDRL,SD,S. DAKOTA
I94ADDRL,TN,TENNESSEE
I94ADDRL,TX,TEXAS
I94ADDRL,UT,UTAH
I94ADDRL,VA,VIRGINIA
I94ADDRL,VI,VIRGIN ISLANDS
I94ADDRL,VT,VERMONT
I94ADDRL,WA,WASHINGTON
I94ADDRL,WI,WISCONSON
I94ADDRL,WV,W. VIRGINIA
I94ADDRL,WY,WYOMING
