FMTNAME,START,LABEL,city,state
I94PRTL,.GA,No PORT Code (.GA),,
I94PRTL,060,No PORT Code (60),,
I94PRTL,48Y,"PINECREEK BORDER ARPT, MN",PINECREEK BORDER ARPT, MN
I94PRTL,5KE,"KETCHIKAN, AK",KETCHIKAN, AK
I94PRTL,5T6,No PORT Code (5T6),,
I94PRTL,74S,No PORT Code (74S),,
I94PRTL,888,UNIDENTIFED AIR / SEAPORT,,
I94PRTL,A2A,No PORT Code (A2A),,
I94PRTL,ABE,"ABERDEEN, WA",ABERDEEN, WA
I94PRTL,ABG,"ALBURG, VT",ALBURG, VT
I94PRTL,ABQ,"ALBUQUERQUE, NM",ALBUQUERQUE, NM
I94PRTL,ABS,"ALBURG SPRINGS, VT",ALBURG SPRINGS, VT
I94PRTL,ACY,"POMONA FIELD - ATLANTIC CITY, NJ",POMONA FIELD - ATLANTIC CITY, NJ
I94PRTL,ADS,"ADDISON AIRPORT- ADDISON, TX",ADDISON AIRPORT- ADDISON, TX
I94PRTL,ADT,"AMISTAD DAM, TX",AMISTAD DAM, TX
I94PRTL,ADU,No PORT Code (ADU),,
I94PRTL,ADW,"ANDREWS AFB, MD",ANDREWS AFB, MD
I94PRTL,AFW,"FORT WORTH ALLIANCE, TX",FORT WORTH ALLIANCE, TX
I94PRTL,AG,No PORT Code (AG),,
I94PRTL,AG0,"MAGNOLIA, AR",MAGNOLIA, AR
I94PRTL,AGA,"AGANA, GU",AGANA, GU
I94PRTL,AGM,"ALGOMA, WI",ALGOMA, WI
I94PRTL,AGN,"ALGONAC, MI",ALGONAC, MI
I94PRTL,AGS,"BUSH FIELD - AUGUSTA, GA",BUSH FIELD - AUGUSTA, GA
I94PRTL,AGU,"AGUADILLA, PR",AGUADILLA, PR
I94PRTL,AKR,"AKRON, OH",AKRON, OH
I94PRTL,AKT,No PORT Code (AKT),,
I94PRTL,ALA,"ALAMAGORDO, NM (BPS)",ALAMAGORDO, NM (BPS)
I94PRTL,ALB,"ALBANY, NY",ALBANY, NY
I94PRTL,ALC,"ALCAN, AK",ALCAN, AK
I94PRTL,ALP,"ALPENA, MI",ALPENA, MI
